Description,Amount,Created Time,Original Date,Type
Juguete de Cascabel y Plumas,"COP 7,000.00","September 10, 2022 11:41 PM",,Discretionary
Baileys,"COP 40,000.00","September 16, 2022 6:34 PM",,Discretionary
Toallitas + Comida de Kika,"COP 13,050.00","September 17, 2022 8:20 PM",,Discretionary
Pasta Divina,"COP 334,000.00","September 18, 2022 2:58 AM",,Discretionary
Maglia Café,"COP 57,000.00","September 24, 2022 9:57 PM",,Discretionary
sweet art october 1st,"COP 38,500.00","October 1, 2022 11:06 PM",,Discretionary
Remodelación de la Cama,"COP 900,000.00","October 2, 2022 5:24 PM",,Short-term
Tapete antideslizante,"COP 12,000.00","October 9, 2022 5:17 PM",,Utilities
Ositos,"COP 4,000.00","October 9, 2022 5:18 PM",,Discretionary
Hair Routine,"COP 100,000.00","October 9, 2022 5:24 PM",,Utilities
La Garosa,"COP 21,000.00","October 15, 2022 4:02 PM",,Discretionary
Cucharitas Negras x 2,"COP 17,000.00","October 16, 2022 4:19 AM",,Discretionary
Transparent Case,"COP 10,000.00","October 22, 2022 10:15 PM",,Discretionary
Zapatos,"COP 40,000.00","October 22, 2022 11:12 PM",,Discretionary
Porthos,"COP 163,000.00","October 23, 2022 3:36 AM",,Discretionary
Domicilio de la medicina de Kika,"COP 9,000.00","October 23, 2022 9:08 PM",,Discretionary
Medicina de Kika,"COP 83,000.00","October 23, 2022 9:09 PM",,Discretionary
Ensalada,"COP 14,000.00","October 27, 2022 4:19 PM",,Discretionary
Withdrawal,"COP 200,000.00","October 29, 2022 11:52 PM",,Utilities
Buho Rooftop,"COP 187,000.00","October 30, 2022 6:03 AM",,Discretionary
Topit,"COP 61,400.00","November 5, 2022 10:26 PM",,Discretionary
Frituras,"COP 15,000.00","November 5, 2022 11:52 PM",,Discretionary
RappiFavores,"COP 30,000.00","November 10, 2022 4:47 PM",,Discretionary
FitBar,"COP 58,300.00","November 12, 2022 10:53 PM",,Discretionary
Nazly,"COP 30,000.00","November 17, 2022 12:26 PM",,Discretionary
Lourdes' Trainer,"COP 200,000.00","November 19, 2022 1:51 PM",,Discretionary
Fit Choices,"COP 39,800.00","November 19, 2022 9:10 PM",,Discretionary
Luces LED x2,"COP 129,000.00","November 19, 2022 10:43 PM",,Discretionary
Uber de Regreso,"COP 14,700.00","November 20, 2022 4:09 AM",,Discretionary
Esterilización De Galleta,"COP 132,000.00","November 22, 2022 2:01 AM",,Discretionary
Arreglo iPhone,"COP 200,000.00","November 22, 2022 2:02 AM",,Discretionary
Robot Vacuum,"COP 900,000.00","November 26, 2022 3:12 AM",,Short-term
Seguro Nana,"COP 2,000,000.00","November 26, 2022 2:18 PM",,Sinking
Water,"COP 200,000.00","December 1, 2022 2:44 AM",,Utilities
DirectTV,"COP 50,000.00","December 2, 2022 10:08 PM",,Discretionary
Nevera,"COP 7,450,000.00","December 2, 2022 10:15 PM",,Short-term
iPhone 14 Pro,"COP 2,000,000.00","December 2, 2022 10:26 PM",,Discretionary
Rosanegra,"COP 102,000.00","December 4, 2022 2:49 AM",,Discretionary
"InDriver ","COP 20,000.00","December 4, 2022 1:41 PM",,Discretionary
Nazly,"COP 50,000.00","December 7, 2022 11:31 PM",,Discretionary
Supresores De Picos X3,"COP 131,700.00","December 11, 2022 12:00 AM",,Short-term
Vajilla 16 Pcs,"COP 199,900.00","December 11, 2022 12:00 AM",,Short-term
Escalera 2 Pasos,"COP 119,000.00","December 11, 2022 12:01 AM",,Short-term
Butaco Pequeño,"COP 44,900.00","December 11, 2022 12:01 AM",,Short-term
Filtro,"COP 103,900.00","December 11, 2022 12:02 AM",,Short-term
Pintura Negra,"COP 30,900.00","December 11, 2022 12:02 AM",,Short-term
Uber De Brisket A Casa,"COP 9,900.00","December 11, 2022 1:51 AM",,Discretionary
Ganchos Adhesivos (Multiusos),"COP 5,000.00","December 15, 2022 2:28 AM",,Short-term
Bolsitas Heméticas,"COP 5,000.00","December 15, 2022 2:29 AM",,Short-term
Soporte Transparente Para Esponja,"COP 5,000.00","December 15, 2022 2:29 AM",,Short-term
Limpia Vidrios (Escurridor) x2,"COP 8,000.00","December 15, 2022 2:30 AM",,Short-term
Ganchos Para Bolsitas x2,"COP 8,000.00","December 15, 2022 2:31 AM",,Short-term
Tapete Grande Antidelizante x4,"COP 48,000.00","December 15, 2022 2:33 AM",,Short-term
Trapos De Cocina x3,"COP 12,000.00","December 15, 2022 2:34 AM",,Short-term
Cepillo De Inodoro x2,"COP 28,000.00","December 15, 2022 2:45 AM",,Short-term
Destapa Caños,"COP 6,000.00","December 15, 2022 2:46 AM",,Short-term
Tapete Para Fregadero x2,"COP 28,000.00","December 15, 2022 2:47 AM",,Short-term
Alfombra Para Cocina x2,"COP 32,000.00","December 15, 2022 2:51 AM",,Short-term
Vaso Desechable,"COP 1,450.00","December 15, 2022 3:15 AM",,Short-term
Cepillo Plancha,"COP 2,490.00","December 15, 2022 3:16 AM",,Short-term
Limpiador Ceram,"COP 4,590.00","December 15, 2022 3:18 AM",,Utilities
Jabón Líquido,"COP 6,380.00","December 15, 2022 3:19 AM",,Utilities
Bolsa Hogar,"COP 1,890.00","December 15, 2022 3:20 AM",,Utilities
Julián,"COP 100,000.00","December 15, 2022 1:49 PM",,Discretionary
Withdrawal,"COP 200,000.00","December 15, 2022 1:55 PM",,Utilities
Uber a Viva,"COP 8,000.00","December 15, 2022 9:55 PM",,Discretionary
Transporte De La Nevera,"COP 150,000.00","December 16, 2022 8:19 PM",,Short-term
Bajo Puerta Con Perf,"COP 45,900.00","December 16, 2022 8:22 PM",,Discretionary
Tope Puerta Magnético,"COP 65,700.00","December 16, 2022 8:22 PM",,Short-term
Cierre Automático,"COP 13,800.00","December 16, 2022 8:23 PM",,Short-term
Adaptador Macho,COP 450.00,"December 16, 2022 8:24 PM",,Discretionary
Antideslizantes acolchados para gabetas x3,"COP 36,000.00","December 17, 2022 11:37 PM",,Discretionary
Cover De BomBin,"COP 30,000.00","December 18, 2022 2:06 AM",,Discretionary
Cafetera,"COP 124,900.00","December 19, 2022 12:05 AM",,Short-term
Enjuague Bucal,"COP 28,000.00","December 22, 2022 10:20 PM",,Utilities
Pastel De Oro,"COP 50,000.00","December 23, 2022 3:19 PM",,Discretionary
Things (iOS),"COP 50,000.00","December 24, 2022 4:00 AM",,Discretionary
Uber hasta donde Lourdes,"COP 16,000.00","December 24, 2022 4:02 AM",,Discretionary
La Matriarca,"COP 214,000.00","December 24, 2022 5:29 AM",,Discretionary
Withdrawal,"COP 100,000.00","December 24, 2022 4:18 PM",,Utilities
Aguinaldos,"COP 150,000.00","December 24, 2022 4:19 PM",,Discretionary
Locero para Mueble,"COP 31,900.00","December 24, 2022 8:15 PM",,Short-term
Soporte rollo plástico,"COP 18,900.00","December 24, 2022 8:16 PM",,Short-term
Soporte bajo puerta,"COP 45,900.00","December 24, 2022 8:20 PM",,Short-term
Forro lavadora,"COP 129,800.00","December 24, 2022 8:20 PM",,Short-term
Luz LED,"COP 20,900.00","December 27, 2022 12:20 AM",,Short-term
Toallas de mano,"COP 33,800.00","December 27, 2022 12:21 AM",,Short-term
Tapete de baño,"COP 53,800.00","December 27, 2022 12:21 AM",,Short-term
Execedente Pa,"COP 145,000.00","December 31, 2022 4:52 PM",,Sinking
Seguro,"COP 690,200.00","January 6, 2023 1:44 PM",,Sinking
Juan Valdez,"COP 12,500.00","January 8, 2023 6:30 PM",,Discretionary
Welcome Mat,"COP 17,000.00","January 8, 2023 9:39 PM",,Short-term
Porthos,"COP 50,000.00","January 9, 2023 2:07 AM",,Discretionary
Nazly,"COP 40,000.00","January 9, 2023 3:24 AM",,Discretionary
Sacacorchos,"COP 47,490.00","January 9, 2023 3:42 AM",,Short-term
Condones,"COP 22,750.00","January 9, 2023 3:43 AM",,Utilities
Termómetro Digital,"COP 30,300.00","January 9, 2023 3:44 AM",,Short-term
Cooling Pad,"COP 15,400.00","January 9, 2023 3:44 AM",,Discretionary
Curitas,"COP 4,000.00","January 9, 2023 3:45 AM",,Short-term
Pataconera,"COP 23,690.00","January 9, 2023 3:46 AM",,Short-term
Abrelatas,"COP 36,990.00","January 9, 2023 3:46 AM",,Short-term
Xiaomi Mi Scale,"COP 139,901.00","January 9, 2023 3:47 AM",,Short-term
Café Descafeinado,"COP 8,950.00","January 9, 2023 6:43 PM",,Utilities
Agua,"COP 2,890.00","January 9, 2023 6:43 PM",,Utilities
Cocacola x2,"COP 2,380.00","January 9, 2023 6:43 PM",,Utilities
Internet,"COP 120,000.00","January 10, 2023 11:00 PM",,Utilities
Tapetes De Gym,"COP 210,000.00","January 14, 2023 1:52 PM",,Short-term
Gym,"COP 88,700.00","January 14, 2023 1:53 PM",,Short-term
Uber de Lourdes,"COP 11,450.00","January 14, 2023 2:37 PM",,Discretionary
Laundry Hamper,"COP 12,000.00","January 14, 2023 11:30 PM",,Short-term
Protector Nosotras,"COP 5,800.00","January 14, 2023 11:32 PM",,Utilities
Crema Ponds Clarant,"COP 24,320.00","January 14, 2023 11:33 PM",,Discretionary
Tortilla Integral,"COP 3,690.00","January 15, 2023 5:25 PM",,Utilities
Wafle Backerei,"COP 5,990.00","January 15, 2023 5:25 PM",,Utilities
Queso Parmesano,"COP 11,590.00","January 15, 2023 5:27 PM",,Utilities
Jamón de Pavo,"COP 9,190.00","January 15, 2023 5:28 PM",,Utilities
Carnes de hamburguesas,"COP 8,690.00","January 15, 2023 5:28 PM",,Utilities
Jabón Líquido,"COP 3,190.00","January 15, 2023 5:29 PM",,Utilities
Arepa de huevo,"COP 7,990.00","January 15, 2023 5:29 PM",,Utilities
Chorizo Vela +,"COP 12,980.00","January 15, 2023 5:30 PM",,Utilities
Mostaza,"COP 1,960.00","January 15, 2023 5:30 PM",,Utilities
Mayonesa,"COP 2,990.00","January 15, 2023 5:30 PM",,Utilities
Salsa de tomate,"COP 3,190.00","January 15, 2023 5:30 PM",,Utilities
Yogurt Griego S x2,"COP 7,180.00","January 15, 2023 5:32 PM",,Utilities
Leche Asada,"COP 2,990.00","January 15, 2023 5:33 PM",,Utilities
Papas a la francesa,"COP 5,990.00","January 15, 2023 5:34 PM",,Utilities
Salchichas de perro,"COP 7,590.00","January 15, 2023 5:34 PM",,Utilities
Maíz Tierno,"COP 4,990.00","January 15, 2023 5:35 PM",,Utilities
Vino Tinto,"COP 16,990.00","January 15, 2023 5:35 PM",,Utilities
Guacamole Crach,"COP 3,290.00","January 15, 2023 5:39 PM",,Utilities
Esponja de baño,"COP 1,990.00","January 15, 2023 5:39 PM",,Utilities
Toallas desinfectantes,"COP 4,990.00","January 15, 2023 5:40 PM",,Utilities
Aceite Gourmet,"COP 9,600.00","January 21, 2023 12:11 PM",,Utilities
Pimienta,"COP 1,500.00","January 21, 2023 12:11 PM",,Utilities
Mogolla Acema,"COP 5,300.00","January 21, 2023 12:11 PM",,Discretionary
Sandalias Havaianas,"COP 29,900.00","January 22, 2023 11:55 PM",,Utilities
Alkaseltzer,"COP 13,300.00","January 22, 2023 11:56 PM",,Utilities
Repuesto Cepillo,"COP 47,750.00","January 22, 2023 11:56 PM",,Utilities
Juguete De Laser,"COP 7,000.00","January 22, 2023 11:59 PM",,Discretionary
Toallitas humedas,"COP 5,000.00","January 23, 2023 12:00 AM",,Discretionary
Organizador cuadrado,"COP 10,000.00","January 23, 2023 12:01 AM",,Short-term
Toalla Higiénica,"COP 10,000.00","January 23, 2023 12:01 AM",,Utilities
Memos,"COP 6,990.00","January 23, 2023 12:04 AM",,Short-term
Crema de Whisky,"COP 45,980.00","January 23, 2023 12:05 AM",,Utilities
Agua Oxigenada,"COP 4,500.00","January 23, 2023 12:07 AM",,Utilities
Bicarbonato De Sodio,"COP 4,500.00","January 23, 2023 12:07 AM",,Utilities
Organizadores Cuadrados x20,"COP 100,000.00","January 29, 2023 2:21 AM",,Short-term
Cortinas Blackout,"COP 595,000.00","January 29, 2023 4:06 PM",,Short-term
Materiales Puerta,"COP 69,500.00","January 31, 2023 2:11 AM",,Utilities
Materiales Puerta,"COP 259,000.00","January 31, 2023 2:11 AM",,Utilities
Crema de Peinar y Mascarilla,"COP 69,000.00","February 1, 2023 1:20 AM",,Utilities
Withdrawal,"COP 100,000.00","February 5, 2023 2:09 PM",,Utilities
Withdrawal,"COP 20,000.00","February 5, 2023 2:09 PM",,Utilities
Clorox,"COP 8,250.00","February 5, 2023 4:09 PM",,Utilities
Gordon Blue,"COP 20,500.00","February 5, 2023 4:18 PM",,Utilities
Huevos Kikes x30,"COP 15,990.00","February 5, 2023 4:22 PM",,Utilities
Martha,"COP 60,000.00","February 9, 2023 3:05 AM",,Utilities
Caja de Arena,"COP 14,000.00","February 13, 2023 1:39 PM",,Discretionary
Banda de Ejercicio,"COP 12,000.00","February 13, 2023 1:40 PM",,Discretionary
Sprite,"COP 3,000.00","February 13, 2023 1:40 PM",,Utilities
Water Service,"COP 62,000.00","February 13, 2023 2:01 PM",,Utilities
Extintor y Bateria CDT,"COP 500,000.00","February 18, 2023 5:24 PM",,Sinking
Soat,"COP 730,000.00","February 18, 2023 5:25 PM",,Sinking
Urban Bistro,"COP 89,000.00","February 26, 2023 12:29 AM",,Discretionary
KFC,"COP 70,000.00","March 4, 2023 6:45 PM",,Discretionary
Sofá,"COP 3,300,000.00","March 4, 2023 6:46 PM",,Discretionary
Gift,"COP 110,000.00","March 5, 2023 4:58 PM",,Sinking
Base TV,"COP 90,000.00","March 5, 2023 5:00 PM",,Discretionary
Regalo de Cumpleaños de Ma,"COP 150,000.00","April 26, 2023 1:54 AM",,Sinking
Papitas Fritas Congeladas,"COP 11,980.00","April 26, 2023 2:00 AM",,Utilities
Salchicha de Perro,"COP 8,150.00","April 26, 2023 2:01 AM",,Utilities
Queso Muenster,"COP 7,990.00","April 26, 2023 2:01 AM",,Utilities
Pan Artesanal,"COP 6,590.00","April 26, 2023 2:02 AM",,Utilities
Bebetos,"COP 4,000.00","April 26, 2023 2:02 AM",,Utilities
Biscolata,"COP 6,790.00","April 26, 2023 2:03 AM",,Utilities
Coffee Table,"COP 900,000.00","April 26, 2023 2:03 AM",,Short-term
Chuzitos,"COP 60,000.00","April 26, 2023 2:03 AM",,Discretionary
Waffles,"COP 31,000.00","April 26, 2023 2:04 AM",,Discretionary
Dunking Donuts,"COP 17,000.00","April 26, 2023 2:10 AM",,Discretionary
Donación,"COP 10,000.00","April 26, 2023 2:10 AM",,Discretionary
DollarCity,"COP 67,000.00","April 26, 2023 2:10 AM",,Utilities
Uber,"COP 7,430.00","April 26, 2023 2:10 AM",,Discretionary
Detergente Y Suavizante,"COP 31,000.00","April 26, 2023 2:21 AM",,Discretionary
Dad's Gift,"COP 130,000.00","June 17, 2023 10:20 PM",,Sinking
"Alkosto: Cloro, Vino, Smirnoff","COP 56,080.00","June 18, 2023 10:20 PM",,Utilities
Steam Deck,"COP 3,600,000.00","June 21, 2023 12:16 PM",,Short-term
Uber,"COP 6,770.00","June 21, 2023 12:18 PM",,Discretionary
Nana's Battery,"COP 500,000.00","June 21, 2023 12:18 PM",,Sinking
Cubano,"COP 50,000.00","June 21, 2023 12:18 PM",,Discretionary
D1,"COP 176,000.00","June 21, 2023 12:18 PM",,Utilities
Farmatodo,"COP 72,000.00","June 21, 2023 12:20 PM",,Utilities
Santa Cabrona,"COP 115,000.00","June 21, 2023 12:20 PM",,Discretionary
Desgranados,"COP 20,000.00","June 21, 2023 12:20 PM",,Discretionary
Plato de Pizza,"COP 33,800.00","June 21, 2023 12:22 PM",,Discretionary
D1,"COP 356,000.00","June 21, 2023 12:24 PM",,Utilities
Makro,"COP 50,000.00","June 21, 2023 12:24 PM",,Utilities
Withdrawal (Armenia),"COP 100,000.00","June 21, 2023 12:25 PM",,Utilities
D1,"COP 192,000.00","June 21, 2023 12:25 PM",,Utilities
Porthos,"COP 100,000.00","June 24, 2023 3:36 AM",,Discretionary
Shawarmas,"COP 62,000.00","June 25, 2023 12:53 AM",,Discretionary
Makro,"COP 245,000.00","June 25, 2023 12:53 AM",,Utilities
Zapatos negros,"COP 60,000.00","July 1, 2023 9:23 PM",,Discretionary
HomeCenter,"COP 200,000.00","July 1, 2023 11:44 PM",,Utilities
