Description,Amount,Created Time,Original Date,Type
Lourdes’ Pills,"COP 50,000.00","September 24, 2024 6:15 AM",,Discretionary
Lourdes’ English Professor,"COP 670,000.00","September 24, 2024 6:18 AM",,Discretionary
Rent,"COP 1,000,000.00","September 24, 2024 7:41 AM",,Utilities
Cleaning Service,"COP 60,000.00","September 24, 2024 9:00 PM",,Utilities
eSim,"COP 220,000.00","September 27, 2024 2:18 AM",,Short-term
Cleaning Service,"COP 60,000.00","October 1, 2024 9:00 PM",,Utilities
TV + Phone + Internet Service,"COP 133,353.00","October 3, 2024 5:18 AM",,Utilities
YouTube Premium,"COP 26,900.00","October 7, 2024 5:25 AM",,Utilities
Cleaning Service,"COP 60,000.00","October 8, 2024 9:00 PM",,Utilities
Administration Service,"COP 350,000.00","October 9, 2024 5:34 AM",,Utilities
Water Service,"COP 120,000.00","October 13, 2024 7:08 AM",,Utilities
Cleaning Service,"COP 60,000.00","October 15, 2024 9:00 PM",,Utilities
Cellphone Plan,"COP 82,000.00","October 16, 2024 6:04 AM",,Utilities
Electricity Service,"COP 700,000.00","October 17, 2024 5:33 AM",,Utilities
Credit Card Quota,"COP 48,490.00","October 18, 2024 6:16 AM",,Utilities
Lunch@IlForno,"COP 100,000.00","October 19, 2024 7:29 PM",,Discretionary
Supplies@Alkosto,"COP 100,000.00","October 19, 2024 7:29 PM",,Utilities
Supplies@DollarCity,"COP 88,900.00","October 19, 2024 8:15 PM",,Utilities
Supplies@Farmatodo,"COP 167,000.00","October 19, 2024 8:31 PM",,Utilities
Gas Service,"COP 30,000.00","October 20, 2024 6:02 AM",,Utilities
Supplies@D1,"COP 619,150.00","October 20, 2024 5:38 PM",,Utilities
Cleaning Service,"COP 60,000.00","October 22, 2024 9:00 PM",,Utilities
Apple One,"COP 83,900.00","October 24, 2024 6:18 AM",,Utilities
Galleta's Quota,"COP 100,000.00","October 24, 2024 6:39 AM",,Discretionary
Lourdes’ Pills,"COP 50,000.00","October 24, 2024 7:31 AM",,Discretionary
Lourdes’ English Professor,"COP 670,000.00","October 24, 2024 7:40 AM",,Discretionary
Rent,"COP 1,000,000.00","October 24, 2024 7:45 AM",,Utilities
Hair Products,"COP 228,000.00","October 26, 2024 5:34 PM",,Utilities
Cable@Panamericana,"COP 45,000.00","October 26, 2024 11:01 PM",,Discretionary
Dinner@Porthos,"COP 95,000.00","October 27, 2024 12:58 AM",,Discretionary
Cleaning Service,"COP 60,000.00","October 29, 2024 9:00 PM",,Utilities
Halloween Dinner Expenses,"COP 70,000.00","November 2, 2024 5:03 PM",,Discretionary
Lunch Ingredients,"COP 42,100.00","November 2, 2024 5:03 PM",,Discretionary
TV + Phone + Internet Service,"COP 133,353.00","November 3, 2024 5:15 AM",,Utilities
Halloween,"COP 256,000.00","November 3, 2024 6:09 AM",,Discretionary
Supplies (Meat and Mr Musculo),"COP 131,000.00","November 3, 2024 9:24 PM",,Utilities
Cleaning Service,"COP 60,000.00","November 5, 2024 9:00 PM",,Utilities
YouTube Premium,"COP 41,900.00","November 7, 2024 6:15 AM",,Utilities
Administration Service,"COP 350,000.00","November 9, 2024 7:50 AM",,Utilities
Fuel for Nana,"COP 168,107.00","November 9, 2024 8:05 PM",,Utilities
Supplies@Farmatodo,"COP 207,650.00","November 9, 2024 8:05 PM",,Utilities
Snack@MrBono,"COP 13,700.00","November 9, 2024 9:14 PM",,Discretionary
Supplies@Exito,"COP 83,944.00","November 9, 2024 11:18 PM",,Utilities
Cleaning Service,"COP 60,000.00","November 12, 2024 9:00 PM",,Utilities
Water Service,"COP 120,000.00","November 13, 2024 5:55 AM",,Utilities
Cellphone Plan,"COP 82,000.00","November 16, 2024 6:55 AM",,Utilities
Electricity Service,"COP 700,000.00","November 17, 2024 6:21 AM",,Utilities
Credit Card Quota,"COP 48,490.00","November 18, 2024 6:29 AM",,Utilities
Cleaning Service,"COP 60,000.00","November 19, 2024 9:00 PM",,Utilities
Gas Service,"COP 30,000.00","November 20, 2024 5:44 AM",,Utilities
Apple One,"COP 83,900.00","November 24, 2024 5:40 AM",,Utilities
Lourdes’ Pills,"COP 50,000.00","November 24, 2024 5:48 AM",,Discretionary
Lourdes’ English Professor,"COP 670,000.00","November 24, 2024 6:26 AM",,Discretionary
Galleta's Quota,"COP 100,000.00","November 24, 2024 7:32 AM",,Discretionary
Rent,"COP 1,000,000.00","November 24, 2024 7:55 AM",,Utilities
Cleaning Service,"COP 60,000.00","November 26, 2024 9:00 PM",,Utilities
TV + Phone + Internet Service,"COP 133,353.00","December 3, 2024 6:56 AM",,Utilities
Cleaning Service,"COP 60,000.00","December 3, 2024 9:01 PM",,Utilities
YouTube Premium,"COP 26,900.00","December 7, 2024 5:34 AM",,Utilities
Dad's gift,"COP 3,300,000.00","December 9, 2024 4:25 AM",,Sinking
Administration Service,"COP 350,000.00","December 9, 2024 6:45 AM",,Utilities
Cleaning Service,"COP 60,000.00","December 10, 2024 9:01 PM",,Utilities
Water Service,"COP 120,000.00","December 13, 2024 7:38 AM",,Utilities
Cellphone Plan,"COP 82,000.00","December 16, 2024 7:50 AM",,Utilities
Electricity Service,"COP 700,000.00","December 17, 2024 5:35 AM",,Utilities
Cleaning Service,"COP 60,000.00","December 17, 2024 9:00 PM",,Utilities
Credit Card Quota,"COP 48,490.00","December 18, 2024 7:56 AM",,Utilities
Gas Service,"COP 30,000.00","December 20, 2024 6:59 AM",,Utilities
Lourdes’ Pills,"COP 50,000.00","December 24, 2024 5:48 AM",,Discretionary
Rent,"COP 1,000,000.00","December 24, 2024 6:02 AM",,Utilities
Galleta's Quota,"COP 100,000.00","December 24, 2024 6:26 AM",,Discretionary
Apple One,"COP 83,900.00","December 24, 2024 7:17 AM",,Utilities
Lourdes’ English Professor,"COP 670,000.00","December 24, 2024 7:34 AM",,Discretionary
Cleaning Service,"COP 60,000.00","December 24, 2024 9:00 PM",,Utilities
Cleaning Service,"COP 60,000.00","December 31, 2024 9:00 PM",,Utilities
Supplies@DollarCity,"COP 54,000.00","January 1, 2025 12:17 AM",,Utilities
Supplies@D1,"COP 455,380.00","January 1, 2025 12:17 AM",,Utilities
Supplies@Pricesmart,"COP 204,800.00","January 1, 2025 12:17 AM",,Utilities
Seguro Colpatria,"COP 2,993,121.00","January 1, 2025 12:19 AM",,Sinking
Mercadopago Colombia L,"COP 155,000.00","January 1, 2025 12:20 AM",,Discretionary
Archies,"COP 54,630.00","January 1, 2025 12:21 AM",,Discretionary
Supplies@Pricesmart,"COP 204,298.00","January 1, 2025 12:22 AM",,Utilities
Mercado Pago D,"COP 52,900.00","January 1, 2025 12:22 AM",,Discretionary
Fit Choices,"COP 15,700.00","January 1, 2025 12:23 AM",,Discretionary
Mimi,"COP 110,243.00","January 1, 2025 12:24 AM",,Utilities
Fiordi C Co Le Meridie,"COP 53,200.00","January 1, 2025 12:24 AM",,Discretionary
Supplies@D1,"COP 369,630.00","January 1, 2025 12:25 AM",,Utilities
Supplies@Pricesmart,"COP 62,000.00","January 1, 2025 12:25 AM",,Utilities
Devoto,"COP 150,000.00","January 1, 2025 12:25 AM",,Discretionary
Royal Films,"COP 53,000.00","January 1, 2025 12:26 AM",,Discretionary
Royal Films,"COP 26,500.00","January 1, 2025 12:26 AM",,Discretionary
Camachos,"COP 283,091.00","January 1, 2025 12:26 AM",,Discretionary
Christmas Reservation,"COP 50,600.00","January 1, 2025 12:26 AM",,Sinking
Viking Pub,"COP 269,433.00","January 1, 2025 12:27 AM",,Discretionary
La Popular Tomader,"COP 33,870.00","January 1, 2025 12:27 AM",,Discretionary
Repuestos Aspiradora,"COP 87,359.00","January 1, 2025 12:27 AM",,Discretionary
Fit Choices,"COP 94,800.00","January 1, 2025 12:28 AM",,Discretionary
OpenAI Credit,"COP 70,000.00","January 1, 2025 12:29 AM",,Discretionary
TV + Phone + Internet Service,"COP 133,353.00","January 3, 2025 6:49 AM",,Utilities
Tickets for Movie,"COP 58,000.00","January 4, 2025 3:46 PM",,Discretionary
Uber to MadgaTours (Near the river),"COP 15,000.00","January 4, 2025 8:31 PM",,Discretionary
Uber to Samue In,"COP 26,000.00","January 5, 2025 12:19 AM",,Discretionary
Supplies@Pricesmart,"COP 127,000.00","January 6, 2025 3:52 PM",,Utilities
Boxes@HomeCenter,"COP 110,000.00","January 6, 2025 3:53 PM",,Discretionary
Ganache,"COP 20,759.00","January 6, 2025 7:37 PM",,Discretionary
Cinepolis Mall Plaza Bx2,"COP 98,000.00","January 6, 2025 8:11 PM",,Discretionary
Farmatodo Mall Plaza Buen,"COP 121,000.00","January 7, 2025 12:29 AM",,Discretionary
Gente De Pasta,"COP 108,167.00","January 7, 2025 1:27 AM",,Discretionary
Mallplaza Nqs,"COP 6,000.00","January 7, 2025 1:42 AM",,Discretionary
YouTube Premium,"COP 41,900.00","January 7, 2025 6:58 AM",,Utilities
Cleaning Service,"COP 60,000.00","January 7, 2025 9:00 PM",,Utilities
Karen's Birthday,"COP 100,000.00","January 9, 2025 1:37 AM",,Sinking
Administration Service,"COP 350,000.00","January 9, 2025 6:08 AM",,Utilities
Pizza@FitChoices,"COP 40,000.00","January 9, 2025 11:09 AM",,Discretionary
DiDi (Lourdes),"COP 10,900.00","January 9, 2025 11:16 AM",,Discretionary
DiDi (Lourdes),"COP 10,900.00","January 9, 2025 11:16 AM",,Discretionary
Donation,"COP 15,000.00","January 9, 2025 11:30 AM",,Discretionary
Ingredients for dessert,"COP 23,300.00","January 11, 2025 7:34 PM",,Discretionary
Arequipe,"COP 12,290.00","January 11, 2025 10:03 PM",,Utilities
DiDi,"COP 11,700.00","January 11, 2025 10:04 PM",,Discretionary
Late Uber,"COP 10,692.00","January 12, 2025 6:55 AM",,Discretionary
Water Service,"COP 120,000.00","January 13, 2025 7:39 AM",,Utilities
Cleaning Service,"COP 60,000.00","January 14, 2025 9:01 PM",,Utilities
Cellphone Plan,"COP 82,000.00","January 16, 2025 7:33 AM",,Utilities
Electricity Service,"COP 700,000.00","January 17, 2025 7:55 AM",,Utilities
Credit Card Quota,"COP 48,490.00","January 18, 2025 5:41 AM",,Utilities
Uber,"COP 10,900.00","January 18, 2025 8:18 PM",,Discretionary
DiDi,"COP 15,000.00","January 18, 2025 8:18 PM",,Discretionary
Takeout with ExGf,"COP 50,000.00","January 18, 2025 8:19 PM",,Discretionary
ExGf Uber,"COP 15,000.00","January 18, 2025 8:19 PM",,Discretionary
Starbucks Mallplaza,"COP 33,800.00","January 18, 2025 8:28 PM",,Discretionary
Restaurante Septimo Sa,"COP 145,000.00","January 19, 2025 3:20 AM",,Discretionary
Selva Mia,"COP 16,900.00","January 19, 2025 4:46 PM",,Discretionary
Gas Service,"COP 30,000.00","January 20, 2025 6:04 AM",,Utilities
Cleaning Service,"COP 60,000.00","January 21, 2025 9:01 PM",,Utilities
Galleta's Quota,"COP 100,000.00","January 24, 2025 5:16 AM",,Discretionary
Lourdes’ English Professor,"COP 670,000.00","January 24, 2025 6:53 AM",,Discretionary
Rent,"COP 1,000,000.00","January 24, 2025 6:54 AM",,Utilities
Lourdes’ Pills,"COP 50,000.00","January 24, 2025 7:01 AM",,Discretionary
Apple One,"COP 83,900.00","January 24, 2025 7:21 AM",,Utilities
Loan to Andres,"COP 200,000.00","January 25, 2025 2:41 PM",,Discretionary
Dinner@Urbano Gourmet,"COP 33,000.00","January 26, 2025 2:31 AM",,Discretionary
BOLD*Urbano Gourmet,"COP 33,550.00","January 26, 2025 2:32 AM",,Discretionary
Cleaning Service,"COP 60,000.00","January 28, 2025 9:00 PM",,Utilities
Bosi Barranquilla Buenavi,"COP 72,900.00","February 1, 2025 11:42 PM",,Discretionary
Mr Bono Cafe Buenavist,"COP 8,500.00","February 1, 2025 11:52 PM",,Discretionary
Chef Burger Buenavista,"COP 90,000.00","February 2, 2025 1:22 AM",,Discretionary
Carulla Freshmarket Bu,"COP 100,682.00","February 2, 2025 1:57 AM",,Discretionary
Inversiones Kya,"COP 170,421.00","February 2, 2025 3:50 PM",,Discretionary
PriceSmart,"COP 395,600.00","February 2, 2025 3:51 PM",,Utilities
Dollarcity 20 De Julio,"COP 52,500.00","February 3, 2025 1:26 AM",,Utilities
Lola Barcelona,"COP 120,000.00","February 3, 2025 1:27 AM",,Discretionary
TV + Phone + Internet Service,"COP 133,353.00","February 3, 2025 6:35 AM",,Utilities
Cleaning Service,"COP 60,000.00","February 4, 2025 9:01 PM",,Utilities
YouTube Premium,"COP 41,900.00","February 7, 2025 6:46 AM",,Utilities
Fior Viva Barranquilla,"COP 19,700.00","February 8, 2025 11:02 PM",,Discretionary
Transaction,"COP 18,000.00","February 8, 2025 11:03 PM",,Discretionary
Mr Bono Mini Snacks Vi,"COP 12,600.00","February 8, 2025 11:22 PM",,Discretionary
1 Puppis Viva Barranquill,"COP 13,500.00","February 8, 2025 11:33 PM",,Discretionary
Sky Garden,"COP 243,320.00","February 9, 2025 2:56 AM",,Discretionary
Administration Service,"COP 350,000.00","February 9, 2025 6:03 AM",,Utilities
Floor Repairs,"COP 500,000.00","February 9, 2025 6:05 PM",,Emergency
Pedicure,"COP 35,000.00","February 9, 2025 10:54 PM",,Utilities
Groceries@D1,"COP 80,000.00","February 9, 2025 10:55 PM",,Utilities
Didi,"COP 11,600.00","February 10, 2025 2:12 AM",,Discretionary
Didi,"COP 6,700.00","February 10, 2025 2:12 AM",,Discretionary
Rappi,"COP 23,040.00","February 10, 2025 2:13 AM",,Discretionary
Rappi,"COP 12,290.00","February 10, 2025 2:13 AM",,Discretionary
Didi,"COP 11,700.00","February 10, 2025 2:14 AM",,Discretionary
Didi,"COP 18,000.00","February 10, 2025 2:15 AM",,Discretionary
Didi,"COP 10,400.00","February 10, 2025 2:15 AM",,Discretionary
Rappi,"COP 47,000.00","February 10, 2025 2:15 AM",,Discretionary
Didi,"COP 14,000.00","February 10, 2025 2:15 AM",,Discretionary
Rappi,"COP 17,000.00","February 10, 2025 2:16 AM",,Discretionary
Uber,"COP 10,000.00","February 10, 2025 2:16 AM",,Discretionary
Uber,"COP 10,516.00","February 10, 2025 2:16 AM",,Discretionary
Dollarcity,"COP 5,000.00","February 10, 2025 2:16 AM",,Discretionary
Uber,"COP 8,416.00","February 10, 2025 2:17 AM",,Discretionary
Uber,"COP 10,358.00","February 10, 2025 2:17 AM",,Discretionary
Rappi,"COP 12,000.00","February 10, 2025 2:17 AM",,Discretionary
Uber,"COP 7,877.00","February 10, 2025 2:18 AM",,Discretionary
Uber,"COP 8,521.00","February 10, 2025 2:18 AM",,Discretionary
Uber,"COP 9,639.00","February 10, 2025 2:19 AM",,Discretionary
Rappi,"COP 11,600.00","February 10, 2025 2:19 AM",,Discretionary
Rappi,"COP 15,650.00","February 10, 2025 2:20 AM",,Discretionary
Didi,"COP 12,000.00","February 10, 2025 2:20 AM",,Discretionary
Didi,"COP 10,500.00","February 10, 2025 2:20 AM",,Discretionary
Rappi,"COP 39,000.00","February 10, 2025 2:20 AM",,Discretionary
Rappi,"COP 33,200.00","February 10, 2025 2:21 AM",,Discretionary
Didi,"COP 12,800.00","February 10, 2025 2:21 AM",,Discretionary
Uber,"COP 14,675.00","February 10, 2025 2:21 AM",,Discretionary
Uber,"COP 13,823.00","February 10, 2025 2:22 AM",,Discretionary
Uber,"COP 11,817.00","February 10, 2025 2:22 AM",,Discretionary
Uber,"COP 15,498.00","February 10, 2025 2:22 AM",,Discretionary
Uber,"COP 14,609.00","February 10, 2025 2:23 AM",,Discretionary
Datacrédito,"COP 26,600.00","February 10, 2025 2:23 AM",,Discretionary
Rodizio,"COP 26,928.00","February 10, 2025 2:23 AM",,Discretionary
Didi,"COP 9,800.00","February 10, 2025 2:24 AM",,Discretionary
Didi,"COP 10,400.00","February 10, 2025 2:24 AM",,Discretionary
Hair Stuff,"COP 529,000.00","February 10, 2025 2:24 AM",,Discretionary
Bosic,"COP 72,900.00","February 10, 2025 2:24 AM",,Discretionary
Pricesmart,"COP 395,600.00","February 10, 2025 2:27 AM",,Utilities
Dollarcity De Julio,"COP 52,500.00","February 10, 2025 2:27 AM",,Utilities
Uber,"COP 19,425.00","February 10, 2025 2:28 AM",,Discretionary
Uber,"COP 17,830.00","February 10, 2025 2:28 AM",,Discretionary
Farmatodo,"COP 91,550.00","February 10, 2025 2:28 AM",,Utilities
Rappi,"COP 23,400.00","February 10, 2025 2:28 AM",,Discretionary
Comida de Galleta,"COP 248,300.00","February 10, 2025 2:29 AM",,Discretionary
Tiquetes de Concierto,"COP 470,000.00","February 10, 2025 2:29 AM",,Discretionary
Amazon,"COP 1,861,372.00","February 10, 2025 2:29 AM",,Short-term
Rappi,"COP 40,450.00","February 10, 2025 2:30 AM",,Discretionary
Rappi,"COP 13,150.00","February 10, 2025 2:30 AM",,Discretionary
Mr Bono,"COP 12,600.00","February 10, 2025 2:30 AM",,Discretionary
Sky Garden,"COP 243,320.00","February 10, 2025 2:30 AM",,Discretionary
Groceries@D1,"COP 225,000.00","February 10, 2025 6:14 PM",,Utilities
Cleaning Service,"COP 60,000.00","February 11, 2025 9:00 PM",,Utilities
Water Service,"COP 120,000.00","February 13, 2025 5:00 AM",,Utilities
Dinner with ex,"COP 165,000.00","February 16, 2025 2:16 AM",,Discretionary
Cellphone Plan,"COP 82,000.00","February 16, 2025 7:41 AM",,Utilities
1Password Subscription,"COP 227,000.00","February 16, 2025 7:52 AM",,Sinking
Electricity Service,"COP 700,000.00","February 17, 2025 6:04 AM",,Utilities
Transaction,"COP 150,000.00","February 17, 2025 3:36 PM",,Utilities
Credit Card Quota,"COP 48,490.00","February 18, 2025 5:49 AM",,Utilities
Cleaning Service,"COP 60,000.00","February 18, 2025 9:03 PM",,Utilities
Gas Service,"COP 30,000.00","February 20, 2025 6:50 AM",,Utilities
Transaction,"COP 117,000.00","February 22, 2025 6:45 PM",,Discretionary
Ice Cream@Popsy,"COP 11,000.00","February 22, 2025 7:59 PM",,Discretionary
Supplies,"COP 191,000.00","February 22, 2025 8:21 PM",,Utilities
Parking,"COP 9,000.00","February 22, 2025 8:26 PM",,Discretionary
Rent,"COP 1,000,000.00","February 24, 2025 5:33 AM",,Utilities
Apple One,"COP 83,900.00","February 24, 2025 5:34 AM",,Utilities
Galleta's Quota,"COP 100,000.00","February 24, 2025 5:50 AM",,Discretionary
Vehicular Tax Of The Atlantic Government,"COP 1,500,000.00","February 24, 2025 6:06 AM",,Sinking
Lourdes’ English Professor,"COP 670,000.00","February 24, 2025 6:13 AM",,Discretionary
Vehicular Tax Of Barranquilla,"COP 241,200.00","February 24, 2025 6:31 AM",,Sinking
Unified Predial Tax,"COP 2,000,000.00","February 24, 2025 6:54 AM",,Sinking
Lourdes’ Pills,"COP 50,000.00","February 24, 2025 7:08 AM",,Discretionary
Cleaning Service,"COP 60,000.00","February 25, 2025 9:00 PM",,Utilities
TV + Phone + Internet Service,"COP 133,353.00","March 3, 2025 7:48 AM",,Utilities
Cleaning Service,"COP 60,000.00","March 4, 2025 9:00 PM",,Utilities
YouTube Premium,"COP 41,900.00","March 7, 2025 5:44 AM",,Utilities
Inv Logisticas Ultrama,"COP 208,650.00","March 9, 2025 2:36 AM",,Discretionary
Administration Service,"COP 350,000.00","March 9, 2025 5:30 AM",,Utilities
Rappi Pro,"COP 29,900.00","March 10, 2025 2:27 AM",,Discretionary
Uber,"COP 37,261.00","March 10, 2025 2:27 AM",,Discretionary
Gyb Hoteles,"COP 25,000.00","March 10, 2025 2:27 AM",,Discretionary
Gyb Hoteles,"COP 50,000.00","March 10, 2025 2:27 AM",,Discretionary
Uber,"COP 39,547.00","March 10, 2025 2:28 AM",,Discretionary
Vodka,"COP 253,000.00","March 10, 2025 2:28 AM",,Discretionary
Batería Nana,"COP 460,000.00","March 10, 2025 2:28 AM",,Emergency
Didi,"COP 16,700.00","March 10, 2025 2:29 AM",,Discretionary
Didi,"COP 13,000.00","March 10, 2025 2:29 AM",,Discretionary
Rappi,"COP 46,950.00","March 10, 2025 2:29 AM",,Discretionary
Uber,"COP 12,824.00","March 10, 2025 2:29 AM",,Discretionary
appi,"COP 19,000.00","March 10, 2025 2:29 AM",,Discretionary
Didi,"COP 10,400.00","March 10, 2025 2:29 AM",,Discretionary
Uber,"COP 12,529.00","March 10, 2025 2:29 AM",,Discretionary
Didi,"COP 12,400.00","March 10, 2025 2:29 AM",,Discretionary
Didi,"COP 10,500.00","March 10, 2025 2:30 AM",,Discretionary
Didi,"COP 6,100.00","March 10, 2025 2:30 AM",,Discretionary
Dinner@FiorDi,"COP 200,000.00","March 10, 2025 2:36 AM",,Discretionary
Cleaning Service,"COP 60,000.00","March 11, 2025 9:00 PM",,Utilities
Water Service,"COP 120,000.00","March 13, 2025 7:49 AM",,Utilities
Mr Bono Mall Plaza Bue,"COP 8,500.00","March 15, 2025 8:42 PM",,Discretionary
Farmatodo,"COP 49,477.00","March 15, 2025 9:01 PM",,Discretionary
Exito Wow Buenavista,"COP 27,800.00","March 16, 2025 12:07 AM",,Discretionary
Burger King Buenavista,"COP 51,660.00","March 16, 2025 12:43 AM",,Discretionary
Cellphone Plan,"COP 82,000.00","March 16, 2025 6:54 AM",,Utilities
Electricity Service,"COP 700,000.00","March 17, 2025 5:33 AM",,Utilities
Credit Card Quota,"COP 48,490.00","March 18, 2025 5:53 AM",,Utilities
Cleaning Service,"COP 60,000.00","March 18, 2025 9:00 PM",,Utilities
Gas Service,"COP 30,000.00","March 20, 2025 5:54 AM",,Utilities
Alcohol Restock,"COP 327,410.00","March 22, 2025 11:46 PM",,Utilities
Falabella De Colombia,"COP 250,450.00","March 23, 2025 12:22 AM",,Sinking
Chevignon Mall Plaza Barr,"COP 349,230.00","March 23, 2025 1:27 AM",,Short-term
Porthos Steakhouse and Pub,"COP 89,374.00","March 23, 2025 2:12 AM",,Discretionary
Galleta's Quota,"COP 100,000.00","March 24, 2025 5:01 AM",,Discretionary
Unified Predial Tax,"COP 2,000,000.00","March 24, 2025 5:04 AM",,Sinking
Vehicular Tax Of The Atlantic Government,"COP 1,500,000.00","March 24, 2025 5:27 AM",,Sinking
Apple One,"COP 83,900.00","March 24, 2025 5:36 AM",,Utilities
Vehicular Tax Of Barranquilla,"COP 241,200.00","March 24, 2025 5:40 AM",,Sinking
Lourdes’ Pills,"COP 50,000.00","March 24, 2025 6:43 AM",,Discretionary
Lourdes’ English Professor,"COP 670,000.00","March 24, 2025 7:11 AM",,Discretionary
Rent,"COP 1,000,000.00","March 24, 2025 7:49 AM",,Utilities
Rings,"COP 49,900.00","March 24, 2025 9:11 PM",,Short-term
Mr Bono Estacion Viva,"COP 14,600.00","March 24, 2025 11:10 PM",,Discretionary
Chinos,"COP 99,000.00","March 24, 2025 11:10 PM",,Short-term
Lingerie,"COP 32,990.00","March 24, 2025 11:36 PM",,Discretionary
H&M,"COP 60,200.00","March 24, 2025 11:46 PM",,Short-term
La Kazeta,"COP 60,650.00","March 25, 2025 12:26 AM",,Discretionary
Cleaning Service,"COP 60,000.00","March 25, 2025 9:00 PM",,Utilities
Fiordi Cc Mall Plaza,"COP 79,432.00","March 30, 2025 1:45 PM",,Discretionary
Cruz Verde Mall Plaza Bue,"COP 6,000.00","March 30, 2025 1:46 PM",,Discretionary
Novaventa Barranquilla,"COP 1,800.00","March 30, 2025 1:46 PM",,Emergency
Falabella,"COP 100,490.00","March 30, 2025 1:47 PM",,Short-term
Mr. Bono,"COP 19,300.00","March 30, 2025 1:47 PM",,Discretionary
Cleaning Service,"COP 60,000.00","April 1, 2025 9:00 PM",,Utilities
TV + Phone + Internet Service,"COP 133,353.00","April 3, 2025 5:18 AM",,Utilities
MR BONO ESTACIÓN VIVA PISO 2,"COP 14,600.00","April 5, 2025 9:04 PM",,Discretionary
Victor Shirts,"COP 120,000.00","April 5, 2025 10:08 PM",,Short-term
Green Cargo Joggers,"COP 210,500.00","April 5, 2025 10:45 PM",,Short-term
Farmatodo Viva Barranquil,"COP 9,250.00","April 5, 2025 10:50 PM",,Discretionary
Camachos Barranquilla,"COP 185,085.00","April 6, 2025 3:53 AM",,Discretionary
Polo Club Viva Barranq,"COP 291,840.00","April 6, 2025 4:13 AM",,Short-term
YouTube Premium,"COP 41,900.00","April 7, 2025 6:43 AM",,Utilities
Cleaning Service,"COP 60,000.00","April 8, 2025 9:07 PM",,Utilities
Administration Service,"COP 350,000.00","April 9, 2025 7:08 AM",,Utilities
BOLD*Cronicas Cafe,"COP 49,900.00","April 12, 2025 9:03 PM",,Discretionary
BOLD*Cronicas Pet B,"COP 14,500.00","April 12, 2025 9:15 PM",,Discretionary
Mr Bono Buenavista Ii,"COP 5,000.00","April 12, 2025 11:03 PM",,Discretionary
Water Service,"COP 120,000.00","April 13, 2025 5:03 AM",,Utilities
Porthos Steakhouse And Pu,"COP 165,637.00","April 13, 2025 5:48 PM",,Discretionary
Cleaning Service,"COP 60,000.00","April 15, 2025 9:07 PM",,Utilities
Cellphone Plan,"COP 82,000.00","April 16, 2025 5:03 AM",,Utilities
Electricity Service,"COP 700,000.00","April 17, 2025 5:02 AM",,Utilities
Credit Card Quota,"COP 48,490.00","April 18, 2025 5:01 AM",,Utilities
Gas Service,"COP 30,000.00","April 20, 2025 5:01 AM",,Utilities
Cleaning Service,"COP 60,000.00","April 22, 2025 9:00 PM",,Utilities
Apple One,"COP 83,900.00","April 24, 2025 5:01 AM",,Utilities
Social Discounts,"COP 285,000.00","June 7, 2022 1:19 AM","January 1, 2022",Discretionary
Lunch,"COP 22,000.00","June 7, 2022 1:19 AM","January 1, 2022",Discretionary
Driving Teacher,"COP 150,000.00","June 8, 2022 2:12 AM","January 1, 2022",Discretionary
Pet Donation,"COP 12,000.00","June 8, 2022 2:13 AM","January 1, 2022",Discretionary
Valentine Parfait,"COP 30,000.00","June 8, 2022 2:19 AM","February 1, 2022",Discretionary
Lourdes’s Hair Towel,"COP 30,000.00","June 8, 2022 2:19 AM","February 1, 2022",Discretionary
Skala Products,"COP 60,000.00","June 8, 2022 2:27 AM","March 1, 2022",Utilities
Lourdes’ Front-Lace,"COP 250,000.00","June 8, 2022 2:32 AM","May 1, 2022",Discretionary
Valentina’s Lab Coat Ceremony,"COP 100,000.00","June 8, 2022 2:40 AM","May 1, 2022",Discretionary
iPhone Case,"COP 30,000.00","June 8, 2022 2:42 AM","May 1, 2022",Discretionary
Paisa Town Bathrooms,"COP 2,000.00","June 8, 2022 2:42 AM","May 1, 2022",Discretionary
Medellin Hotel,"COP 610,000.00","June 8, 2022 2:44 AM","May 1, 2022",Discretionary
Medellin Archies,"COP 90,000.00","June 8, 2022 2:44 AM","May 1, 2022",Discretionary
Medellin Anniversary Dinner,"COP 200,000.00","June 8, 2022 2:45 AM","May 1, 2022",Discretionary
Tata’s Gift,"COP 20,000.00","June 11, 2022 6:21 PM","January 1, 2021",Sinking
First Dinner Of The Year,"COP 40,900.00","June 11, 2022 6:21 PM","January 1, 2021",Discretionary
iPad Air Glass,"COP 46,516.00","June 11, 2022 6:24 PM","February 1, 2021",Short-term
Sony WH-100XM4,"COP 1,149,000.00","June 11, 2022 6:24 PM","February 1, 2021",Short-term
iPad Air,"COP 2,998,884.00","June 11, 2022 6:24 PM","February 1, 2021",Short-term
Pet Donation,"COP 10,000.00","June 11, 2022 6:24 PM","February 1, 2021",Discretionary
Dad Christmas Gift,"COP 40,000.00","June 11, 2022 6:29 PM","March 1, 2021",Sinking
Lourdes’ Loan,"COP 100,000.00","June 11, 2022 6:30 PM","April 1, 2021",Discretionary
BodyTech Subscription,"COP 75,000.00","June 12, 2022 2:04 PM","May 1, 2021",Discretionary
Satechi USB-C Adapter,"COP 294,000.00","June 12, 2022 2:06 PM","May 1, 2021",Discretionary
Mac Mini,"COP 4,000,000.00","June 12, 2022 2:09 PM","June 1, 2021",Short-term
