Name,Brand,Image,Price,Slug
Panela (225g),Olímpica,,"COP 1,150.00",panela-olimpica--225-g-7701008188013-2001068
Avena (350g),Olímpica,,"COP 3,100.00",avena-o-hojuel-500-g
Alcaparras En Vinagre (250g),Alfresco,,"COP 5,950.00",alcaparras-vinagre-la-coruna-250-g-7702312090047--11214
Salsa De Tomate (400g),Medalla De Oro,,"COP 4,490.00",salsa-de-tomate-medalla-oro-doy-pack-400-g-7701008505629--1417631
Salsa De Tomate (500g),Zev,,"COP 4,290.00",salsa-de-tomate-zev-500-g-12000266
Mostaza (200g),Zev,,"COP 2,190.00",mostaza-zev-200-g-12000265
Mostaza (200g),Medalla De Oro,,"COP 2,300.00",mostaza-medalla-oro-doy-pack-200-g-7701008506473--1417630
Mayonesa Baja En Grasa (400g),Medalla De Oro,,"COP 8,100.00",mayonesa-medalla-oro-400-g-7701008505636--1388423
Mayonesa Baja En Grasa (500g),Zev,,"COP 3,790.00",mayonesa-baja-en-grasa-zev-500-g-12000305
Ajo x3,D1,,"COP 1,390.00",ajo-malla-3-unidades-100-g-12002709
Salsa De Ajo (155g),La Coruña,,"COP 4,650.00",salsa-ajo-la-coruna-155-g-7702312240237--586556
Fideos (500g),Doria,,"COP 4,100.00",pasta-fideo-doria-500-g-7702085013069--25291
Endulzantes (1Kg),Member's Selection,,"COP 43,900.00",13
Esencia De Vainilla (155ml),Speciaria,,"COP 2,550.00",esencia-de-vainilla-speciaria-155ml-12003758
Limón (1KG),Fruvecol,,"COP 2,192.00",
Polvo Para Hornear (80g),Olímpica,,"COP 7,890.00",polvo-para-hornear-levapan-80-g-7702014592023--679093
Maizena (90g),La Original,,"COP 2,372.00",fecula-maizena-90-g-7702047003466--2005354
Galletas Ducales (241g),Noel,,"COP 5,490.00",galleta-2-tacos-ducales-noel-241-grs-12000096
Galletas Ducales x3 (360g),Noel,,"COP 8,800.00",galleta-ducales-taco-x-3-360-g-7702025126774--776417
Leche Condensada (300g),Latti,,"COP 4,490.00",leche-condensada-en-doypack-latti-300-g-12000929
Leche Condensada (420g),Nestlé,,"COP 10,360.00",leche-condensada-la-lechera-doy-pack-420-g-7702024046554--759812
Queso Bloque (230g),Latti,,"COP 9,890.00",queso-bloque-vita-latti-230-gr-12004571
Gelatina Sin Sabor x4 (30g),Kedeli,,"COP 2,250.00",gelatina-sin-sabor-kedeli-4-und-30-g-12000251
